id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,Image5,chart_link
1,MT0013,Sendok-Sendok,Endospermum sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,25,13,minas tahura,mineral,Jalur Kelat,0.6742858,101.4296597,8888,0.19,Belum,-,-,Dedi Setiawan,7/7/2021 0:00,50000,423.82,-,"Chave et al, 2014",media/1625628745551.jpg,media/1625628893271.jpg,media/1625628880839.jpg,media/1625628781999.jpg,,https://www.adopsipohonriau.org/data-tree/47
2,MT0012,Sendok-Sendok,Endospermum sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,38,13,minas tahura,mineral,Jalur Kelat,0.6742617,101.4296225,8888,0.19,Belum,-,-,Dedi Setiawan,7/7/2021 0:00,50000,959.72,-,"Chave et al, 2014",media/1625629150728.jpg,media/1625629092170.jpg,media/1625629080611.jpg,media/1625629121262.jpg,,https://www.adopsipohonriau.org/data-tree/48
3,MT0011,Bintangur,Calophyllum sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,33,12,minas tahura,mineral,Jalur Kelat,0.6741904,101.4296392,8888,0.18,Belum,-,-,Dedi Setiawan,7/7/2021 0:00,50000,947.97,-,"Chave et al, 2014",media/1625629648003.jpg,media/1625629588622.jpg,media/1625629571089.jpg,media/1625629616096.jpg,,https://www.adopsipohonriau.org/data-tree/49
4,MT0010,Sendok-Sendok,Endospermum sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,68,15,minas tahura,mineral,Km 1 Jalur Kelat,0.6741223,101.4296671,8888,0.17,Belum,-,-,Dedi Setiawan,7/7/2021 0:00,200000,3436.52,-,"Chave et al, 2014",media/1625629937674.jpg,media/1625629897250.jpg,media/1625629873087.jpg,media/1625629915639.jpg,,https://www.adopsipohonriau.org/data-tree/50
5,MT0065,Pane-pane,Lithocarpus bennettii,Pohon Dewasa,icon/mature_tree.svg,Not Defined,35,12,minas tahura,mineral,Jalur Kelat Km 1,0.6741187,101.4298074,8888,0.17,Belum,-,-,Dedi Setiawan,7/7/2021 0:00,50000,1300.64,-,"Chave et al, 2014",media/1625630199695.jpg,media/1625630151479.jpg,media/1625630138973.jpg,media/1625630176840.jpg,,https://www.adopsipohonriau.org/data-tree/51
6,MT0064,Parak,Amoora rubiginosa,Pohon Muda,icon/young_tree.svg,Not Defined,42,15,minas tahura,mineral,Jalur Kelat Km 1,0.6740881,101.4298539,8888,0.16,Belum,-,-,Dedi Setiawan,7/7/2021 0:00,200000,2672.19,-,"Chave et al, 2014",media/1625630528851.jpg,media/1625630466257.jpg,media/1625630454818.jpg,media/1625630487965.jpg,,https://www.adopsipohonriau.org/data-tree/52
7,MT0063,Parak,Amoora rubiginosa,Pohon Dewasa,icon/mature_tree.svg,Not Defined,47,20,minas tahura,mineral,Jalur Kelat Km 1,0.6741206,101.4298703,8888,0.16,Belum,-,-,Dedi Setiawan,7/7/2021 0:00,200000,4407.18,-,"Chave et al, 2014",media/1625630889534.jpg,media/1625630836092.jpg,media/1625630818760.jpg,media/1625630864287.jpg,,https://www.adopsipohonriau.org/data-tree/53
8,MT0062,Terap,Artocarpus elasticus,Pohon Dewasa,icon/mature_tree.svg,Least Concern,32,15,minas tahura,mineral,Jalur Kelat Km 1,0.6741185,101.4298803,8888,0.16,Belum,-,-,Dedi Setiawan,7/7/2021 0:00,50000,880.46,-,"Chave et al, 2014",media/1625631202465.jpg,media/1625631145023.jpg,media/1625631118926.jpg,media/1625631169346.jpg,,https://www.adopsipohonriau.org/data-tree/54
9,MT0061,Ringgit-ringgit,Carallia brachiata,Pohon Dewasa,icon/mature_tree.svg,Not Defined,44,21,minas tahura,mineral,Jalur Kelat Km 1,0.6741269,101.429871,8888,0.16,Belum,-,-,Dedi Setiawan,7/7/2021 0:00,200000,3290.09,-,"Chave et al, 2014",media/1625631426649.jpg,media/1625631385287.jpg,media/1625631368608.jpg,media/1625631403227.jpg,,https://www.adopsipohonriau.org/data-tree/55
10,MT0060,Simpur,Dillenia eximia,Pohon Muda,icon/young_tree.svg,Not Defined,43,12,minas tahura,mineral,Jalur Kelat Km 1,0.6744864,101.4299699,8888,0.2,Belum,-,-,Dedi Setiawan,7/7/2021 0:00,200000,1811.14,-,"Chave et al, 2014",media/1625632894146.jpg,media/1625632796096.jpg,media/1625632778812.jpg,media/1625632823964.jpg,,https://www.adopsipohonriau.org/data-tree/56
